Milicent;Jatczak;mjatczak5@hjdgdhj.ch;F;1223;ASSISTANT
Nathalie;Roloff;nroloff6@hehe.xk;F;1209;ASSISTANT
Lonnard;Seyers;lseyers7@hes.ch;M;1005;ASSISTANT
Mitchell;McAndie;mmcandie8@hes.ch;M;1201;ASSISTANT
Clem;Mathivat;cmathivat9@hes.ch;M;1201;ASSISTANT
Ashlan;Aharoni;aaharonia@hes.ch;F;1007;ASSISTANT
Doralyn;Ambrus;dambrusb@hes.ch;F;1201;ASSISTANT
Sig;Tynemouth;stynemouthc@hes.ch;M;1011;ASSISTANT
Borg;Gillet;bgilletg@hes.ch;M;1201;ASSISTANT
Emalee;Mariyushkin;emariyushkinh@hes.ch;F;1225;ASSISTANT
Jon;Sargeant;jsargeanti@hes.ch;M;1018;ASSISTANT
Hazel;Hugenin;hhugenin0@heg.ch;F;1201;ETUDIANT
Kearney;Connell;koconnell1@heg.ch;F;1204;ETUDIANT
Evangelin;Swallow;eswallow2@heg.ch;F;1201;ETUDIANT
Ody;Oswell;ooswell3@heg.ch;F;1251;ETUDIANT
Adriano;Mattimoe;amattimoe4@heg.ch;F;1203;ETUDIANT
Susanetta;Karslake;skarslake5@heg.ch;F;1208;ETUDIANT
Berta;Juan;bjuan6@heg.ch;F;1219;ETUDIANT
Jarvis;Auty;jauty7@heg.ch;M;1201;ETUDIANT
Bird;Brunnen;bbrunnen8@heg.ch;M;1201;ETUDIANT
Henriette;Jorczyk;hjorczyk9@heg.ch;M;1248;ETUDIANT
Jocko;Gatty;jgattya@heg.ch;F;1289;ETUDIANT
Costanza;Amiable;camiableb@heg.ch;F;1283;ETUDIANT
Lorain;Chesney;lchesneyc@heg.ch;M;1201;ETUDIANT
Kathryn;Josh;kjoshd@heg.ch;F;124;ETUDIANT
Jermayne;Gadie;jgadiee@heg.ch;M;1220;ETUDIANT
Cly;Allum;callumf@heg.ch;M;1215;ETUDIANT
Florri;Klimuk;fklimukg@heg.ch;M;1251;ETUDIANT
Lemuel;Armitt;larmitth@heg.ch;F;1220;ETUDIANT
Regan;Hannigan;rhannigani@heg.ch;M;1236;ETUDIANT
Grove;Ramberg;grambergj@heg.ch;M;1253;ETUDIANT
Adah;Casellas;acasellask@heg.ch;F;1214;ETUDIANT
